Line Number,Word Order,Word
38,302,ζαθέην
38,303,Τενέδοιό
38,304,τε
38,305,ἶφι
38,306,ἀνάσσεις
39,307,39
39,308,Σμινθεῦ
39,309,εἴ
39,310,ποτέ
39,311,τοι
39,312,χαρίεντʼ
39,313,ἐπὶ
39,314,νηὸν
39,315,ἔρεψα
40,316,40
40,317,ἢ
40,318,εἰ
40,319,δή
40,320,ποτέ
40,321,τοι
40,322,κατὰ
40,323,πίονα
40,324,μηρίʼ
40,325,ἔκηα
41,326,41
41,327,ταύρων
41,328,ἠδʼ
41,329,αἰγῶν
41,330,τὸ
41,331,δέ
41,332,μοι
41,333,κρήηνον
41,334,ἐέλδωρ
42,335,42
42,336,τίσειαν
42,337,Δαναοὶ
42,338,ἐμὰ
42,339,δάκρυα
42,340,σοῖσι
42,341,βέλεσσιν
43,342,43
43,343,Ὣς
43,344,ἔφατʼ
43,345,εὐχόμενος
43,346,τοῦ
43,347,δʼ
43,348,ἔκλυε
43,349,Φοῖβος
43,350,Ἀπόλλων
44,351,44
44,352,βῆ
44,353,δὲ
44,354,κατʼ
44,355,Οὐλύμποιο
44,356,καρήνων
44,357,χωόμενος
44,358,κῆρ
45,359,45
45,360,τόξʼ
45,361,ὤμοισιν
45,362,ἔχων
45,363,ἀμφηρεφέα
45,364,τε
45,365,φαρέτρην
46,366,46
46,367,ἔκλαγξαν
46,368,δʼ
46,369,ἄρʼ
46,370,ὀϊστοὶ
46,371,ἐπʼ
46,372,ὤμων
46,373,χωομένοιο
47,374,47
47,375,αὐτοῦ
47,376,κινηθέντος
47,377,ὃ
47,378,δʼ
47,379,ἤϊε
47,380,νυκτὶ
47,381,ἐοικώς
48,382,48
48,383,ἕζετʼ
48,384,ἔπειτʼ
48,385,ἀπάνευθε
48,386,νεῶν
48,387,μετὰ
48,388,δʼ
48,389,ἰὸν
48,390,ἕηκε
49,391,49
49,392,δεινὴ
49,393,δὲ
49,394,κλαγγὴ
49,395,γένετʼ
49,396,ἀργυρέοιο
49,397,βιοῖο
50,398,50
50,399,οὐρῆας
50,400,μὲν
50,401,πρῶτον
50,402,ἐπῴχετο
50,403,καὶ
50,404,κύνας
50,405,ἀργούς
51,406,51
51,407,αὐτὰρ
51,408,ἔπειτʼ
51,409,αὐτοῖσι
51,410,βέλος
51,411,ἐχεπευκὲς
51,412,ἐφιεὶς
52,413,52
52,414,βάλλʼ
52,415,αἰεὶ
52,416,δὲ
52,417,πυραὶ
52,418,νεκύων
52,419,καίοντο
52,420,θαμειαί
53,421,53
53,422,Ἐννῆμαρ
53,423,μὲν
53,424,ἀνὰ
53,425,στρατὸν
53,426,ᾤχετο
53,427,κῆλα
53,428,θεοῖο
54,429,54
54,430,τῇ
54,431,δεκάτῃ
54,432,δʼ
54,433,ἀγορήνδε
54,434,καλέσσατο
54,435,λαὸν
54,436,Ἀχιλλεύς
55,437,55
55,438,τῷ
55,439,γὰρ
55,440,ἐπὶ
55,441,φρεσὶ
55,442,θῆκε
55,443,θεὰ
55,444,λευκώλενος
55,445,Ἥρη
56,446,56
56,447,κήδετο
56,448,γὰρ
56,449,Δαναῶν
56,450,ὅτι
56,451,ῥα
56,452,θνήσκοντας
56,453,ὁρᾶτο
57,454,57
57,455,οἳ
57,456,δʼ
57,457,ἐπεὶ
57,458,οὖν
57,459,ἤγερθεν
57,460,ὁμηγερέες
57,461,τε
57,462,γένοντο
58,463,58
58,464,τοῖσι
58,465,δʼ
58,466,ἀνιστάμενος
58,467,μετέφη
58,468,πόδας
58,469,ὠκὺς
58,470,Ἀχιλλεύς
59,471,59
59,472,Ἀτρεΐδη
59,473,νῦν
59,474,ἄμμε
59,475,παλιμπλαγχθέντας
59,476,ὀΐω
60,477,60
60,478,ἂψ
60,479,ἀπονοστήσειν
60,480,εἴ
60,481,κεν
60,482,θάνατόν
60,483,γε
60,484,φύγοιμεν
61,485,61
61,486,εἰ
61,487,δὴ
61,488,ὁμοῦ
61,489,πόλεμός
61,490,τε
61,491,δαμᾷ
61,492,καὶ
61,493,λοιμὸς
61,494,Ἀχαιούς
62,495,62
62,496,ἀλλʼ
62,497,ἄγε
62,498,δή
62,499,τινα
62,500,μάντιν
