Line Number,Word Order,Word
1,1,Era
1,2,muy
1,3,joven
1,4,por
1,5,entonces
1,6,casi
1,7,un
2,8,niño
2,9,y
2,10,soñaba
2,11,con
2,12,las
2,13,aventuras
2,14,que
2,15,me
3,16,entregarían
3,17,los
3,18,fundamentos
3,19,de
3,20,una
3,21,vida
4,22,alejada
4,23,del
4,24,tedio
4,25,y
4,26,del
4,27,aburrimiento
5,28,No
5,29,estaba
5,30,solo
5,31,en
5,32,mis
5,33,sueños
5,34,Tenía
6,35,un
6,36,Tío
6,37,así
6,38,con
6,39,mayúsculas
6,40,Mi
6,41,Tío
7,42,Pepe
7,43,más
7,44,heredero
7,45,del
7,46,carácter
8,47,indómito
8,48,de
8,49,mi
8,50,abuela
8,51,vasca
8,52,que
8,53,del
9,54,pesimismo
9,55,de
9,56,mi
9,57,abuelo
9,58,andaluz
9,59,Mi
9,60,Tío
10,61,Pepe
10,62,Voluntario
10,63,de
10,64,las
10,65,Brigadas
11,66,Internacionales
11,67,durante
11,68,la
11,69,guerra
11,70,civil
12,71,española
12,72,Una
12,73,fotografía
12,74,junto
12,75,a
12,76,Ernest
13,77,Hemingway
13,78,era
13,79,el
13,80,único
13,81,patrimonio
13,82,del
14,83,que
14,84,se
14,85,sentía
14,86,orgulloso
14,87,y
14,88,no
14,89,cesaba
14,90,de
15,91,repetirme
15,92,la
15,93,necesidad
15,94,de
15,95,descubrir
15,96,el
16,97,camino
16,98,y
16,99,echarse
16,100,a
16,101,andar
17,102,De
17,103,más
17,104,está
17,105,indicar
17,106,que
17,107,el
17,108,Tío
17,109,Pepe
18,110,era
18,111,la
18,112,oveja
18,113,negrísima
18,114,de
18,115,la
18,116,familia
18,117,y
19,118,que
19,119,cuanto
19,120,más
19,121,crecía
19,122,yo
19,123,nuestros
20,124,encuentros
20,125,se
20,126,volvían
20,127,cada
20,128,vez
20,129,más
21,130,clandestinos
22,131,De
22,132,él
22,133,recibí
22,134,los
22,135,primeros
22,136,libros
22,137,los
23,138,que
23,139,me
23,140,acercaron
23,141,a
23,142,escritores
23,143,a
23,144,quienes
24,145,jamás
24,146,he
24,147,de
24,148,olvidar
24,149,Julio
24,150,Verne
24,151,Emilio
25,152,Salgari
25,153,Jack
25,154,London
25,155,De
25,156,él
25,157,también
26,158,recibí
26,159,una
26,160,historia
26,161,que
26,162,marcó
26,163,mi
26,164,vida
27,165,Moby
27,166,Dick
27,167,de
27,168,Herman
27,169,Melville
28,170,Tenía
28,171,catorce
28,172,años
28,173,cuando
28,174,leí
28,175,aquel
29,176,libro
29,177,y
29,178,dieciséis
29,179,cuando
29,180,no
29,181,pude
30,182,resistirme
30,183,más
30,184,a
30,185,la
30,186,llamada
30,187,del
30,188,sur
31,189,En
31,190,Chile
31,191,las
31,192,vacaciones
31,193,de
31,194,verano
32,195,duran
32,196,de
32,197,mediados
32,198,de
32,199,diciembre
32,200,a
33,201,mediados
33,202,de
33,203,marzo
33,204,Por
33,205,otras
33,206,lecturas
34,207,supe
34,208,que
34,209,en
34,210,los
34,211,confines
34,212,continentales
35,213,preantárticos
35,214,fondeaban
35,215,varias
35,216,pequeñas
36,217,flotas
36,218,de
36,219,barcos
36,220,balleneros
36,221,y
36,222,ansiaba
37,223,conocer
37,224,a
37,225,aquellos
37,226,hombres
37,227,a
37,228,los
37,229,que
38,230,imaginaba
38,231,herederos
38,232,del
38,233,capitán
38,234,Ahab
39,235,Convencer
39,236,a
39,237,mis
39,238,padres
39,239,de
39,240,la
40,241,necesidad
40,242,de
40,243,ese
40,244,viaje
40,245,sólo
40,246,fue
40,247,posible
41,248,gracias
41,249,a
41,250,la
41,251,ayuda
41,252,de
41,253,mi
41,254,Tío
41,255,Pepe
41,256,quien
42,257,además
42,258,me
42,259,financió
42,260,el
42,261,pasaje
42,262,hasta
43,263,Puerto
43,264,Montt
44,265,Los
44,266,primeros
44,267,mil
44,268,y
44,269,tantos
44,270,kilómetros
45,271,del
45,272,encuentro
45,273,con
45,274,el
45,275,mundo
45,276,del
45,277,fin
45,278,del
46,279,mundo
46,280,los
46,281,hice
46,282,en
46,283,tren
46,284,hasta
46,285,Puerto
47,286,Montt
47,287,Allí
47,288,frente
47,289,al
47,290,mar
47,291,se
47,292,terminan
48,293,bruscamente
48,294,las
48,295,vías
48,296,del
48,297,ferrocarril
49,298,Después
49,299,el
49,300,país
49,301,se
49,302,divide
49,303,en
49,304,miles
49,305,de
50,306,islas
50,307,islotes
50,308,canales
50,309,pasos
50,310,de
50,311,mar
51,312,hasta
51,313,las
51,314,cercanías
51,315,del
51,316,Polo
51,317,Sur
51,318,y
51,319,en
51,320,la
52,321,parte
52,322,continental
52,323,las
52,324,cordilleras
52,325,los
53,326,ventisqueros
53,327,los
53,328,bosques
54,329,impenetrables
54,330,los
54,331,hielos
54,332,eternos
54,333,las
55,334,lagunas
55,335,los
55,336,fiordos
55,337,y
55,338,los
55,339,ríos
56,340,caprichosos
56,341,impiden
56,342,el
56,343,trazo
56,344,de
56,345,caminos
57,346,o
57,347,de
57,348,vías
57,349,ferroviarias
